INTERACTOR_A  INTERACTOR_B
7227.FBpp0291670 7227.FBpp0087045
7227.FBpp0304879 7227.FBpp0077142
7227.FBpp0091123 7227.FBpp0091099
7227.FBpp0070402 7227.FBpp0073316
7227.FBpp0079752 7227.FBpp0086269
7227.FBpp0074902 7227.FBpp0078633
7227.FBpp0300988 7227.FBpp0073144
7227.FBpp0081845 7227.FBpp0070279
7227.FBpp0071766 7227.FBpp0078354
7227.FBpp0071503 7227.FBpp0075839
7227.FBpp0073433 7227.FBpp0072130
7227.FBpp0070584 7227.FBpp0079999
7227.FBpp0073623 7227.FBpp0082483
7227.FBpp0071295 7227.FBpp0079536
7227.FBpp0087118 7227.FBpp0074835
7227.FBpp0071808 7227.FBpp0073623
7227.FBpp0084638 7227.FBpp0086749
7227.FBpp0110412 7227.FBpp0072312
7227.FBpp0082540 7227.FBpp0291479
7227.FBpp0304269 7227.FBpp0070370
7227.FBpp0293442 7227.FBpp0081253
7227.FBpp0085121 7227.FBpp0073906
7227.FBpp0076890 7227.FBpp0073989
7227.FBpp0291653 7227.FBpp0073844
7227.FBpp0304268 7227.FBpp0084067
7227.FBpp0303212 7227.FBpp0072145
7227.FBpp0079148 7227.FBpp0297239
7227.FBpp0074988 7227.FBpp0077572
7227.FBpp0071766 7227.FBpp0084345
7227.FBpp0073844 7227.FBpp0075764
7227.FBpp0077130 7227.FBpp0304269
7227.FBpp0088021 7227.FBpp0304059
7227.FBpp0083927 7227.FBpp0085324
7227.FBpp0070402 7227.FBpp0070716
7227.FBpp0080401 7227.FBpp0306039
7227.FBpp0304879 7227.FBpp0081527
7227.FBpp0086063 7227.FBpp0082867
7227.FBpp0076005 7227.FBpp0073949
7227.FBpp0081845 7227.FBpp0085585
7227.FBpp0091063 7227.FBpp0091117
7227.FBpp0073090 7227.FBpp0304268
7227.FBpp0073090 7227.FBpp0078093
7227.FBpp0077147 7227.FBpp0074566
7227.FBpp0078024 7227.FBpp0080490
7227.FBpp0304268 7227.FBpp0079000
7227.FBpp0076330 7227.FBpp0088055
7227.FBpp0082329 7227.FBpp0070175
7227.FBpp0082153 7227.FBpp0083659
7227.FBpp0079294 7227.FBpp0070795
7227.FBpp0091123 7227.FBpp0091111
7227.FBpp0087118 7227.FBpp0080488
7227.FBpp0294043 7227.FBpp0083717
7227.FBpp0076819 7227.FBpp0081957
7227.FBpp0085585 7227.FBpp0305858
7227.FBpp0084989 7227.FBpp0079680
7227.FBpp0074298 7227.FBpp0073682
7227.FBpp0304268 7227.FBpp0085716
7227.FBpp0111689 7227.FBpp0087348
7227.FBpp0091115 7227.FBpp0091087
7227.FBpp0079304 7227.FBpp0291479
7227.FBpp0300988 7227.FBpp0086096
7227.FBpp0070382 7227.FBpp0086314
7227.FBpp0076090 7227.FBpp0074237
7227.FBpp0100179 7227.FBpp0100186
7227.FBpp0090943 7227.FBpp0072119
7227.FBpp0075686 7227.FBpp0075395
7227.FBpp0078086 7227.FBpp0082353
7227.FBpp0084966 7227.FBpp0076359
7227.FBpp0084144 7227.FBpp0087322
7227.FBpp0073623 7227.FBpp0099686
7227.FBpp0073623 7227.FBpp0070766
7227.FBpp0084110 7227.FBpp0071476
7227.FBpp0083687 7227.FBpp0071451
7227.FBpp0077309 7227.FBpp0081822
7227.FBpp0084959 7227.FBpp0072094
7227.FBpp0079443 7227.FBpp0081845
7227.FBpp0079606 7227.FBpp0300652
7227.FBpp0070782 7227.FBpp0083336
7227.FBpp0071097 7227.FBpp0079805
7227.FBpp0072801 7227.FBpp0089424
7227.FBpp0111294 7227.FBpp0078633
7227.FBpp0089424 7227.FBpp0088441
7227.FBpp0071954 7227.FBpp0080028
7227.FBpp0297083 7227.FBpp0083774
7227.FBpp0086103 7227.FBpp0081527
7227.FBpp0083905 7227.FBpp0081822
7227.FBpp0084966 7227.FBpp0078416
7227.FBpp0085585 7227.FBpp0082465
7227.FBpp0078400 7227.FBpp0070859
7227.FBpp0089424 7227.FBpp0076207
7227.FBpp0071518 7227.FBpp0084966
7227.FBpp0073906 7227.FBpp0075764
7227.FBpp0305943 7227.FBpp0304617
7227.FBpp0091129 7227.FBpp0091105
7227.FBpp0080140 7227.FBpp0080127
7227.FBpp0073844 7227.FBpp0084617
7227.FBpp0085658 7227.FBpp0078483
7227.FBpp0091131 7227.FBpp0091078
7227.FBpp0091154 7227.FBpp0074715
7227.FBpp0084907 7227.FBpp0305828
7227.FBpp0071771 7227.FBpp0082513
7227.FBpp0072312 7227.FBpp0084345
7227.FBpp0305289 7227.FBpp0073098
7227.FBpp0306232 7227.FBpp0080641
7227.FBpp0079399 7227.FBpp0289675
7227.FBpp0083371 7227.FBpp0084617
7227.FBpp0086096 7227.FBpp0074500
7227.FBpp0075348 7227.FBpp0081786
7227.FBpp0073893 7227.FBpp0071222
7227.FBpp0079607 7227.FBpp0074180
7227.FBpp0083141 7227.FBpp0073228
7227.FBpp0081614 7227.FBpp0082513
7227.FBpp0082887 7227.FBpp0082882
7227.FBpp0086749 7227.FBpp0074151
7227.FBpp0304879 7227.FBpp0087608
7227.FBpp0082153 7227.FBpp0090943
7227.FBpp0081263 7227.FBpp0088441
7227.FBpp0071222 7227.FBpp0305611
7227.FBpp0085585 7227.FBpp0082513
7227.FBpp0079445 7227.FBpp0087045
7227.FBpp0088519 7227.FBpp0072239
7227.FBpp0073906 7227.FBpp0078354
7227.FBpp0306232 7227.FBpp0082465
7227.FBpp0084959 7227.FBpp0110412
7227.FBpp0079606 7227.FBpp0089424
7227.FBpp0075807 7227.FBpp0083516
7227.FBpp0082928 7227.FBpp0087340
7227.FBpp0091096 7227.FBpp0091129
7227.FBpp0085300 7227.FBpp0072561
7227.FBpp0071295 7227.FBpp0070150
7227.FBpp0070963 7227.FBpp0079454
7227.FBpp0083376 7227.FBpp0071050
7227.FBpp0071295 7227.FBpp0083802
7227.FBpp0070298 7227.FBpp0077625
7227.FBpp0083932 7227.FBpp0076339
7227.FBpp0304503 7227.FBpp0072083
7227.FBpp0110412 7227.FBpp0071888
7227.FBpp0077353 7227.FBpp0072494
7227.FBpp0305654 7227.FBpp0078918
7227.FBpp0071150 7227.FBpp0076301
7227.FBpp0076558 7227.FBpp0078896
7227.FBpp0086974 7227.FBpp0082459
7227.FBpp0289675 7227.FBpp0070654
7227.FBpp0083581 7227.FBpp0293061
7227.FBpp0074104 7227.FBpp0081380
7227.FBpp0091133 7227.FBpp0091090
7227.FBpp0072761 7227.FBpp0297893
7227.FBpp0080211 7227.FBpp0070382
7227.FBpp0072094 7227.FBpp0081822
7227.FBpp0080102 7227.FBpp0076152
7227.FBpp0084959 7227.FBpp0306039
7227.FBpp0289824 7227.FBpp0082985
7227.FBpp0074104 7227.FBpp0088360
7227.FBpp0074512 7227.FBpp0083954
7227.FBpp0072616 7227.FBpp0076227
7227.FBpp0087637 7227.FBpp0078203
7227.FBpp0084242 7227.FBpp0086096
7227.FBpp0303728 7227.FBpp0306039
7227.FBpp0079752 7227.FBpp0077142
7227.FBpp0091115 7227.FBpp0091099
7227.FBpp0074662 7227.FBpp0303270
7227.FBpp0110412 7227.FBpp0076152
7227.FBpp0084743 7227.FBpp0079999
7227.FBpp0081947 7227.FBpp0083141
7227.FBpp0084966 7227.FBpp0082465
7227.FBpp0079484 7227.FBpp0070279
7227.FBpp0074822 7227.FBpp0085891
7227.FBpp0303270 7227.FBpp0073989
7227.FBpp0082995 7227.FBpp0084144
7227.FBpp0077206 7227.FBpp0071685
7227.FBpp0074500 7227.FBpp0082465
7227.FBpp0293502 7227.FBpp0099922
7227.FBpp0077141 7227.FBpp0077099
7227.FBpp0077213 7227.FBpp0080003
7227.FBpp0305832 7227.FBpp0077859
7227.FBpp0071954 7227.FBpp0081488
7227.FBpp0079500 7227.FBpp0291726
7227.FBpp0071822 7227.FBpp0070723
7227.FBpp0076824 7227.FBpp0079641
7227.FBpp0089041 7227.FBpp0081488
7227.FBpp0084564 7227.FBpp0071050
7227.FBpp0085121 7227.FBpp0081384
7227.FBpp0075631 7227.FBpp0081380
7227.FBpp0082011 7227.FBpp0075701
7227.FBpp0079484 7227.FBpp0089424
7227.FBpp0292147 7227.FBpp0085563
7227.FBpp0087731 7227.FBpp0070561
7227.FBpp0073292 7227.FBpp0071451
7227.FBpp0291653 7227.FBpp0085166
7227.FBpp0078086 7227.FBpp0303920
7227.FBpp0305184 7227.FBpp0073018
7227.FBpp0085915 7227.FBpp0111817
7227.FBpp0078093 7227.FBpp0087350
7227.FBpp0071954 7227.FBpp0076890
7227.FBpp0073338 7227.FBpp0073606
7227.FBpp0071142 7227.FBpp0080997
7227.FBpp0073035 7227.FBpp0292914
7227.FBpp0075425 7227.FBpp0077550
7227.FBpp0071497 7227.FBpp0078754
7227.FBpp0087475 7227.FBpp0078584
7227.FBpp0087536 7227.FBpp0301099
7227.FBpp0078365 7227.FBpp0081333
7227.FBpp0305795 7227.FBpp0071971
7227.FBpp0082928 7227.FBpp0073651
7227.FBpp0083905 7227.FBpp0086269
7227.FBpp0085100 7227.FBpp0083336
7227.FBpp0073623 7227.FBpp0306039
7227.FBpp0070877 7227.FBpp0072094
7227.FBpp0071449 7227.FBpp0076756
7227.FBpp0080214 7227.FBpp0077433
7227.FBpp0291653 7227.FBpp0081527
7227.FBpp0300338 7227.FBpp0289654
7227.FBpp0074115 7227.FBpp0293863
7227.FBpp0078416 7227.FBpp0076359
7227.FBpp0088537 7227.FBpp0304617
7227.FBpp0086103 7227.FBpp0074500
7227.FBpp0081614 7227.FBpp0071295
7227.FBpp0291653 7227.FBpp0083802
7227.FBpp0077130 7227.FBpp0078167
7227.FBpp0072468 7227.FBpp0082897
7227.FBpp0305507 7227.FBpp0073809
7227.FBpp0077885 7227.FBpp0074554
7227.FBpp0084564 7227.FBpp0071958
7227.FBpp0305742 7227.FBpp0113107
7227.FBpp0087115 7227.FBpp0088441
7227.FBpp0076883 7227.FBpp0075139
7227.FBpp0076200 7227.FBpp0303405
7227.FBpp0078490 7227.FBpp0087583
7227.FBpp0082902 7227.FBpp0075338
7227.FBpp0303780 7227.FBpp0081822
7227.FBpp0087321 7227.FBpp0078354
7227.FBpp0080578 7227.FBpp0072257
7227.FBpp0086526 7227.FBpp0074226
7227.FBpp0078694 7227.FBpp0079536
7227.FBpp0086627 7227.FBpp0072968
7227.FBpp0291230 7227.FBpp0077410
7227.FBpp0084919 7227.FBpp0079060
7227.FBpp0070913 7227.FBpp0075807
7227.FBpp0075317 7227.FBpp0087461
7227.FBpp0071050 7227.FBpp0070150
7227.FBpp0077309 7227.FBpp0099686
7227.FBpp0073623 7227.FBpp0084564
7227.FBpp0301787 7227.FBpp0074882
7227.FBpp0081822 7227.FBpp0084617
7227.FBpp0076756 7227.FBpp0075686
7227.FBpp0071295 7227.FBpp0080102
7227.FBpp0304269 7227.FBpp0074481
7227.FBpp0290743 7227.FBpp0078354
7227.FBpp0085585 7227.FBpp0086269
7227.FBpp0088820 7227.FBpp0087936
7227.FBpp0076818 7227.FBpp0086069
7227.FBpp0081614 7227.FBpp0076207
7227.FBpp0079443 7227.FBpp0079182
7227.FBpp0082329 7227.FBpp0297417
7227.FBpp0079064 7227.FBpp0293662
7227.FBpp0289915 7227.FBpp0074565
7227.FBpp0086627 7227.FBpp0087119
7227.FBpp0110412 7227.FBpp0071295
7227.FBpp0078850 7227.FBpp0081261
7227.FBpp0078448 7227.FBpp0074662
7227.FBpp0087608 7227.FBpp0071052
7227.FBpp0076917 7227.FBpp0076918
7227.FBpp0091108 7227.FBpp0091141
7227.FBpp0080391 7227.FBpp0071822
7227.FBpp0081029 7227.FBpp0070141
7227.FBpp0091051 7227.FBpp0085249
7227.FBpp0081665 7227.FBpp0077016
7227.FBpp0078633 7227.FBpp0078433
7227.FBpp0079484 7227.FBpp0071958
7227.FBpp0073316 7227.FBpp0072463
7227.FBpp0078326 7227.FBpp0074993
7227.FBpp0300988 7227.FBpp0077142
7227.FBpp0078448 7227.FBpp0089041
7227.FBpp0293948 7227.FBpp0085100
7227.FBpp0304503 7227.FBpp0085717
7227.FBpp0303792 7227.FBpp0293269
7227.FBpp0077353 7227.FBpp0075676
7227.FBpp0087608 7227.FBpp0300615
7227.FBpp0087115 7227.FBpp0303780
7227.FBpp0302563 7227.FBpp0085717
7227.FBpp0076312 7227.FBpp0070729
7227.FBpp0079328 7227.FBpp0088441
7227.FBpp0084617 7227.FBpp0077885
7227.FBpp0086269 7227.FBpp0089424
7227.FBpp0070729 7227.FBpp0085619
