7227.FBpp0112147_9606.ENSP00000366135	7227.FBpp0083989_9606.ENSP00000366997
7227.FBpp0072468_9606.ENSP00000360532	7227.FBpp0070402_9606.ENSP00000366557
7227.FBpp0073459_9606.ENSP00000424417	7227.FBpp0070402_9606.ENSP00000366557
7227.FBpp0073459_9606.ENSP00000424417	7227.FBpp0072468_9606.ENSP00000360532
7227.FBpp0074660_9606.ENSP00000315379	7227.FBpp0070402_9606.ENSP00000366557
7227.FBpp0074660_9606.ENSP00000315379	7227.FBpp0072468_9606.ENSP00000360532
7227.FBpp0074660_9606.ENSP00000315379	7227.FBpp0073459_9606.ENSP00000424417
7227.FBpp0075282_9606.ENSP00000317123	7227.FBpp0070402_9606.ENSP00000366557
7227.FBpp0075282_9606.ENSP00000317123	7227.FBpp0072468_9606.ENSP00000360532
7227.FBpp0075282_9606.ENSP00000317123	7227.FBpp0074660_9606.ENSP00000315379
7227.FBpp0080638_9606.ENSP00000387006	7227.FBpp0070402_9606.ENSP00000366557
7227.FBpp0080638_9606.ENSP00000387006	7227.FBpp0072468_9606.ENSP00000360532
7227.FBpp0080638_9606.ENSP00000387006	7227.FBpp0073459_9606.ENSP00000424417
7227.FBpp0085902_9606.ENSP00000227524	7227.FBpp0070402_9606.ENSP00000366557
7227.FBpp0085902_9606.ENSP00000227524	7227.FBpp0072468_9606.ENSP00000360532
7227.FBpp0085902_9606.ENSP00000227524	7227.FBpp0073459_9606.ENSP00000424417
7227.FBpp0085902_9606.ENSP00000227524	7227.FBpp0074660_9606.ENSP00000315379
7227.FBpp0085902_9606.ENSP00000227524	7227.FBpp0075282_9606.ENSP00000317123
7227.FBpp0085902_9606.ENSP00000227524	7227.FBpp0080638_9606.ENSP00000387006
7227.FBpp0086749_9606.ENSP00000351137	7227.FBpp0070402_9606.ENSP00000366557
7227.FBpp0086749_9606.ENSP00000351137	7227.FBpp0072468_9606.ENSP00000360532
7227.FBpp0086749_9606.ENSP00000351137	7227.FBpp0073459_9606.ENSP00000424417
7227.FBpp0086749_9606.ENSP00000351137	7227.FBpp0074660_9606.ENSP00000315379
7227.FBpp0086749_9606.ENSP00000351137	7227.FBpp0075282_9606.ENSP00000317123
7227.FBpp0086749_9606.ENSP00000351137	7227.FBpp0080638_9606.ENSP00000387006
7227.FBpp0086749_9606.ENSP00000351137	7227.FBpp0085902_9606.ENSP00000227524
7227.FBpp0087124_9606.ENSP00000304350	7227.FBpp0070402_9606.ENSP00000366557
7227.FBpp0087124_9606.ENSP00000304350	7227.FBpp0072468_9606.ENSP00000360532
