!Alpha: 0.700000!Shared Interactions vs Total Sequence Similarity: 9317 81.234763
!Global Score: 6546.270428924702
7227.FBpp0298351 9606.ENSP00000386444
7227.FBpp0304089 9606.ENSP00000336927
7227.FBpp0075938 9606.ENSP00000262971
7227.FBpp0072041 9606.ENSP00000367787
7227.FBpp0079746 9606.ENSP00000307288
7227.FBpp0086767 9606.ENSP00000260404
7227.FBpp0076342 9606.ENSP00000267101
7227.FBpp0304812 9606.ENSP00000386134
7227.FBpp0086101 9606.ENSP00000361918
7227.FBpp0082540 9606.ENSP00000357823
7227.FBpp0073292 9606.ENSP00000157812
7227.FBpp0089041 9606.ENSP00000216455
7227.FBpp0076602 9606.ENSP00000447001
7227.FBpp0082984 9606.ENSP00000260443
7227.FBpp0082995 9606.ENSP00000308179
7227.FBpp0076990 9606.ENSP00000355541
7227.FBpp0077550 9606.ENSP00000279242
7227.FBpp0087774 9606.ENSP00000253794
7227.FBpp0084753 9606.ENSP00000234590
7227.FBpp0082496 9606.ENSP00000261195
7227.FBpp0074226 9606.ENSP00000252102
7227.FBpp0303585 9606.ENSP00000267199
7227.FBpp0303212 9606.ENSP00000338562
7227.FBpp0083932 9606.ENSP00000389934
7227.FBpp0099758 9606.ENSP00000442563
7227.FBpp0086483 9606.ENSP00000419782
7227.FBpp0075209 9606.ENSP00000244763
7227.FBpp0087398 9606.ENSP00000374332
7227.FBpp0303126 9606.ENSP00000308533
7227.FBpp0297500 9606.ENSP00000367346
7227.FBpp0080365 9606.ENSP00000261776
7227.FBpp0085607 9606.ENSP00000268220
7227.FBpp0085658 9606.ENSP00000404676
7227.FBpp0086432 9606.ENSP00000358815
7227.FBpp0081839 9606.ENSP00000349465
7227.FBpp0078007 9606.ENSP00000363054
7227.FBpp0112201 9606.ENSP00000363533
7227.FBpp0091099 9606.ENSP00000368349
7227.FBpp0091153 9606.ENSP00000406046
7227.FBpp0080118 9606.ENSP00000269571
7227.FBpp0084720 9606.ENSP00000351273
7227.FBpp0080603 9606.ENSP00000358813
7227.FBpp0293948 9606.ENSP00000401802
7227.FBpp0305371 9606.ENSP00000348565
7227.FBpp0086749 9606.ENSP00000351137
7227.FBpp0083227 9606.ENSP00000242592
7227.FBpp0082121 9606.ENSP00000414906
7227.FBpp0075822 9606.ENSP00000273398
7227.FBpp0086468 9606.ENSP00000281087
7227.FBpp0076417 9606.ENSP00000377686
7227.FBpp0083273 9606.ENSP00000267973
7227.FBpp0304253 9606.ENSP00000372035
7227.FBpp0071272 9606.ENSP00000402608
7227.FBpp0071563 9606.ENSP00000262477
7227.FBpp0111270 9606.ENSP00000389465
7227.FBpp0070299 9606.ENSP00000392270
7227.FBpp0288856 9606.ENSP00000270861
7227.FBpp0077041 9606.ENSP00000261497
7227.FBpp0293271 9606.ENSP00000280333
7227.FBpp0088245 9606.ENSP00000286186
7227.FBpp0084340 9606.ENSP00000310440
7227.FBpp0074237 9606.ENSP00000267430
7227.FBpp0084955 9606.ENSP00000372088
7227.FBpp0084919 9606.ENSP00000358327
7227.FBpp0074278 9606.ENSP00000254950
7227.FBpp0079565 9606.ENSP00000264018
7227.FBpp0085334 9606.ENSP00000416892
7227.FBpp0084082 9606.ENSP00000407323
7227.FBpp0074075 9606.ENSP00000256383
7227.FBpp0070279 9606.ENSP00000346067
7227.FBpp0079484 9606.ENSP00000307889
7227.FBpp0075498 9606.ENSP00000354791
7227.FBpp0081703 9606.ENSP00000370737
7227.FBpp0070434 9606.ENSP00000302194
7227.FBpp0088684 9606.ENSP00000285039
7227.FBpp0083050 9606.ENSP00000233616
7227.FBpp0289089 9606.ENSP00000357047
7227.FBpp0091135 9606.ENSP00000244601
7227.FBpp0082490 9606.ENSP00000446714
7227.FBpp0080039 9606.ENSP00000263826
7227.FBpp0081650 9606.ENSP00000380378
7227.FBpp0305023 9606.ENSP00000304283
7227.FBpp0113097 9606.ENSP00000341189
7227.FBpp0083937 9606.ENSP00000347858
7227.FBpp0086953 9606.ENSP00000404029
7227.FBpp0297911 9606.ENSP00000293831
7227.FBpp0078765 9606.ENSP00000383892
7227.FBpp0088833 9606.ENSP00000317376
7227.FBpp0075612 9606.ENSP00000230050
7227.FBpp0294003 9606.ENSP00000376215
7227.FBpp0303792 9606.ENSP00000472998
7227.FBpp0082996 9606.ENSP00000356056
7227.FBpp0081741 9606.ENSP00000450560
7227.FBpp0081947 9606.ENSP00000317780
7227.FBpp0072233 9606.ENSP00000362873
7227.FBpp0292260 9606.ENSP00000440586
7227.FBpp0077551 9606.ENSP00000323046
7227.FBpp0075344 9606.ENSP00000300406
7227.FBpp0083749 9606.ENSP00000379364
7227.FBpp0290700 9606.ENSP00000385142
7227.FBpp0082570 9606.ENSP00000006275
7227.FBpp0074298 9606.ENSP00000354219
7227.FBpp0087122 9606.ENSP00000464146
7227.FBpp0070876 9606.ENSP00000257600
7227.FBpp0082644 9606.ENSP00000216294
7227.FBpp0305541 9606.ENSP00000355077
7227.FBpp0091154 9606.ENSP00000229854
7227.FBpp0083406 9606.ENSP00000351049
7227.FBpp0080629 9606.ENSP00000223129
7227.FBpp0086812 9606.ENSP00000265171
7227.FBpp0297182 9606.ENSP00000298139
7227.FBpp0073965 9606.ENSP00000364448
7227.FBpp0082590 9606.ENSP00000312735
7227.FBpp0305420 9606.ENSP00000289153
7227.FBpp0305165 9606.ENSP00000330054
7227.FBpp0074104 9606.ENSP00000431040
7227.FBpp0086469 9606.ENSP00000353575
7227.FBpp0071562 9606.ENSP00000363970
7227.FBpp0085119 9606.ENSP00000361306
7227.FBpp0073098 9606.ENSP00000355231
7227.FBpp0082817 9606.ENSP00000215793
7227.FBpp0073922 9606.ENSP00000360124
7227.FBpp0073995 9606.ENSP00000287022
7227.FBpp0087484 9606.ENSP00000247655
7227.FBpp0085609 9606.ENSP00000290663
7227.FBpp0077625 9606.ENSP00000380795
7227.FBpp0271782 9606.ENSP00000262640
7227.FBpp0075762 9606.ENSP00000364864
7227.FBpp0075246 9606.ENSP00000392495
7227.FBpp0099837 9606.ENSP00000364204
7227.FBpp0079676 9606.ENSP00000353483
7227.FBpp0085489 9606.ENSP00000364649
7227.FBpp0074822 9606.ENSP00000268712
7227.FBpp0071173 9606.ENSP00000391457
7227.FBpp0091066 9606.ENSP00000263187
7227.FBpp0074715 9606.ENSP00000276533
7227.FBpp0071448 9606.ENSP00000365891
7227.FBpp0077111 9606.ENSP00000269142
7227.FBpp0112469 9606.ENSP00000358151
7227.FBpp0086519 9606.ENSP00000227618
7227.FBpp0070242 9606.ENSP00000219476
7227.FBpp0081322 9606.ENSP00000315017
7227.FBpp0075148 9606.ENSP00000268206
7227.FBpp0306039 9606.ENSP00000341730
7227.FBpp0291726 9606.ENSP00000418082
