!Alpha: 0.700000!Shared Interactions vs Total Sequence Similarity: 9549 75.261419
!Global Score: 6706.878425825009
4932.YLR028C 7227.FBpp0290556
4932.YOR352W 7227.FBpp0289804
4932.YLR423C 7227.FBpp0087524
4932.YNL238W 7227.FBpp0086719
4932.YKR027W 7227.FBpp0070537
4932.YKR026C 7227.FBpp0084874
4932.YOL142W 7227.FBpp0077551
4932.YDR062W 7227.FBpp0080297
4932.YGR261C 7227.FBpp0290745
4932.YEL024W 7227.FBpp0077580
4932.YGL172W 7227.FBpp0083195
4932.YPR103W 7227.FBpp0087319
4932.YBL092W 7227.FBpp0084959
4932.YHR203C 7227.FBpp0085585
4932.YGL116W 7227.FBpp0080391
4932.YPR086W 7227.FBpp0305673
4932.YDL060W 7227.FBpp0077998
4932.YMR121C 7227.FBpp0082483
4932.YOL069W 7227.FBpp0091063
4932.YMR263W 7227.FBpp0091123
4932.YDR045C 7227.FBpp0085563
4932.YNL252C 7227.FBpp0082767
4932.YDL127W 7227.FBpp0088087
4932.YPL187W 7227.FBpp0110418
4932.YGR006W 7227.FBpp0306223
4932.YOR127W 7227.FBpp0088115
4932.YER040W 7227.FBpp0085855
4932.YLR321C 7227.FBpp0073526
4932.YOR254C 7227.FBpp0076558
4932.YJR051W 7227.FBpp0085736
4932.YIL062C 7227.FBpp0077378
4932.YDL235C 7227.FBpp0073686
4932.YGR048W 7227.FBpp0075952
4932.YDL055C 7227.FBpp0078510
4932.YHR012W 7227.FBpp0077625
4932.YMR061W 7227.FBpp0077676
4932.YAL043C 7227.FBpp0084726
4932.YFR021W 7227.FBpp0289288
4932.YAL058W 7227.FBpp0074074
4932.YLR181C 7227.FBpp0072691
4932.YOR275C 7227.FBpp0084610
4932.YGR180C 7227.FBpp0073120
4932.YNL082W 7227.FBpp0083514
4932.YBL041W 7227.FBpp0075119
4932.YER029C 7227.FBpp0293061
4932.YOR272W 7227.FBpp0079780
4932.YKL082C 7227.FBpp0083263
4932.YPR023C 7227.FBpp0306049
4932.YKL058W 7227.FBpp0083912
4932.YLR222C 7227.FBpp0087461
4932.YDR334W 7227.FBpp0071529
4932.YNL136W 7227.FBpp0087765
4932.YPL022W 7227.FBpp0070913
4932.YIL106W 7227.FBpp0073681
4932.YHL033C 7227.FBpp0072801
4932.YNL301C 7227.FBpp0077142
4932.YJL092W 7227.FBpp0080675
4932.YDR195W 7227.FBpp0091102
4932.YEL019C 7227.FBpp0082535
4932.YGL073W 7227.FBpp0100010
4932.YJL008C 7227.FBpp0087764
4932.YGL105W 7227.FBpp0075168
4932.YGL206C 7227.FBpp0073966
4932.YML063W 7227.FBpp0083905
4932.YNR032C-A 7227.FBpp0089396
4932.YNL201C 7227.FBpp0083266
4932.YKL006C-A 7227.FBpp0076264
4932.YKR084C 7227.FBpp0088165
4932.YER173W 7227.FBpp0081293
4932.YAL020C 7227.FBpp0290558
4932.YKL192C 7227.FBpp0304248
4932.YHR056C 7227.FBpp0078414
4932.YDR142C 7227.FBpp0076295
4932.YDR443C 7227.FBpp0289089
4932.YOR174W 7227.FBpp0072457
4932.YJL121C 7227.FBpp0301729
4932.YJL125C 7227.FBpp0084342
4932.YJL101C 7227.FBpp0071063
4932.YDR292C 7227.FBpp0073336
4932.YOR370C 7227.FBpp0085658
4932.YPR165W 7227.FBpp0086354
4932.YLR093C 7227.FBpp0071049
4932.Q0130 7227.FBpp0085134
